Date,Close
3/3/15,384.61
3/4/15,382.72
3/5/15,387.83
3/6/15,380.09
3/9/15,378.56
3/10/15,369.51
3/11/15,366.37
3/12/15,374.24
3/13/15,370.58
3/16/15,373.35
3/17/15,371.92
3/18/15,375.14
3/19/15,373.24
3/20/15,378.49
3/23/15,375.11
3/24/15,374.09
3/25/15,370.96
3/26/15,367.35
3/27/15,370.56
3/30/15,374.59
3/31/15,372.1
4/1/15,370.26
4/2/15,372.25
4/6/15,377.04
4/7/15,374.41
4/8/15,381.2
4/9/15,383.54
4/10/15,382.65
4/13/15,382.36
4/14/15,385.11
4/15/15,383.45
4/16/15,386.04
4/17/15,375.56
4/20/15,389.51
4/21/15,391.18
4/22/15,389.8
4/23/15,389.99
4/24/15,445.1
4/27/15,438.56
4/28/15,429.31
4/29/15,429.37
4/30/15,421.78
5/1/15,422.87
5/4/15,423.04
5/5/15,421.19
5/6/15,419.1
5/7/15,426.88
5/8/15,433.69
5/11/15,432.85
5/12/15,431.02
5/13/15,426.87
5/14/15,432.28
5/15/15,426
5/18/15,425.24
5/19/15,421.71
5/20/15,423.86
5/21/15,431.63
5/22/15,427.63
5/26/15,425.47
5/27/15,431.42
5/28/15,426.57
5/29/15,429.23
6/1/15,430.92
6/2/15,430.99
6/3/15,436.59
6/4/15,430.78
6/5/15,426.95
6/8/15,423.5
6/9/15,425.48
6/10/15,430.77
6/11/15,432.97
6/12/15,429.92
6/15/15,423.67
6/16/15,427.26
6/17/15,427.81
6/18/15,439.39
6/19/15,434.92
6/22/15,436.29
6/23/15,445.99
6/24/15,440.84
6/25/15,440.1
6/26/15,438.1
6/29/15,429.86
6/30/15,434.09
7/1/15,437.39
7/2/15,437.71
7/6/15,436.04
7/7/15,436.72
7/8/15,429.7
7/9/15,434.39
7/10/15,443.51
7/13/15,455.57
7/14/15,465.57
7/15/15,461.19
7/16/15,475.48
7/17/15,483.01
7/20/15,488.1
7/21/15,488
7/22/15,488.27
7/23/15,482.18
7/24/15,529.42
7/27/15,531.41
7/28/15,526.03
7/29/15,529
7/30/15,536.76
7/31/15,536.15
8/3/15,535.03
8/4/15,531.9
8/5/15,537.01
8/6/15,529.46
8/7/15,522.62
8/10/15,524
8/11/15,527.46
8/12/15,525.91
8/13/15,529.66
8/14/15,531.52
8/17/15,535.22
8/18/15,535.02
8/19/15,532.92
8/20/15,515.78
8/21/15,494.47
8/24/15,463.37
8/25/15,466.37
8/26/15,500.77
8/27/15,518.37
8/28/15,518.01
8/31/15,512.89
9/1/15,496.54
9/2/15,510.55
9/3/15,504.72
9/4/15,499
9/8/15,517.54
9/9/15,516.89
9/10/15,522.24
9/11/15,529.44
9/14/15,521.38
9/15/15,522.37
9/16/15,527.39
9/17/15,538.87
9/18/15,540.26
9/21/15,548.39
9/22/15,538.4
9/23/15,536.07
9/24/15,533.75
9/25/15,524.25
9/28/15,504.06
9/29/15,496.07
9/30/15,511.89
10/1/15,520.72
10/2/15,532.54
10/5/15,543.68
10/6/15,537.48
10/7/15,541.94
10/8/15,533.16
10/9/15,539.8
10/12/15,550.19
10/13/15,548.9
10/14/15,544.83
10/15/15,562.44
10/16/15,570.76
10/19/15,573.15
10/20/15,560.88
10/21/15,555.77
10/22/15,563.91
10/23/15,599.03
10/26/15,608.61
10/27/15,611.01
10/28/15,617.1
10/29/15,626.55
10/30/15,625.9
11/2/15,628.35
11/3/15,625.31
11/4/15,640.95
11/5/15,655.65
11/6/15,659.37
11/9/15,655.49
11/10/15,659.68
11/11/15,673.25
11/12/15,665.6
11/13/15,642.35
11/16/15,647.81
11/17/15,643.3
11/18/15,663.54
11/19/15,661.27
11/20/15,668.45
11/23/15,678.99
11/24/15,671.15
11/25/15,675.34
11/27/15,673.26
11/30/15,664.8
12/1/15,679.06
12/2/15,676.01
12/3/15,666.25
12/4/15,672.64
12/7/15,669.83
12/8/15,677.33
12/9/15,664.79
12/10/15,662.32
12/11/15,640.15
12/14/15,657.91
12/15/15,658.64
12/16/15,675.77
12/17/15,670.65
12/18/15,664.14
12/21/15,664.51
12/22/15,663.15
12/23/15,663.7
12/24/15,662.79
12/28/15,675.2
12/29/15,693.97
12/30/15,689.07
12/31/15,675.89
1/4/16,636.99
1/5/16,633.79
1/6/16,632.65
1/7/16,607.94
1/8/16,607.05
1/11/16,617.74
1/12/16,617.89
1/13/16,581.81
1/14/16,593
1/15/16,570.18
1/19/16,574.48
1/20/16,571.77
1/21/16,575.02
1/22/16,596.38
1/25/16,596.53
1/26/16,601.25
1/27/16,583.35
1/28/16,635.35
1/29/16,587
2/1/16,574.81
2/2/16,552.1
2/3/16,531.07
2/4/16,536.26
2/5/16,502.13
2/8/16,488.1
2/9/16,482.07
2/10/16,490.48
2/11/16,503.82
2/12/16,507.08
2/16/16,521.1
2/17/16,534.1
2/18/16,525
2/19/16,534.9
2/22/16,559.5
2/23/16,552.94
2/24/16,554.04
2/25/16,555.15
2/26/16,555.23
2/29/16,552.52
3/1/16,579.04
3/2/16,580.21
3/3/16,577.49
3/4/16,575.14
3/7/16,562.8
3/8/16,560.26
3/9/16,559.47
3/10/16,558.93
3/11/16,569.61
